"Comment","Designator","Footprint","LCSC Part #"
"10u","C1,C2,C7","C_0805_2012Metric","C15850"
"100n","C10,C11,C12,C13,C14,C15,C16","C_0402_1005Metric","C1525"
"22u","C3,C4,C5","C_0805_2012Metric","C45783"
"4.7u","C6","C_0603_1608Metric","C19666"
"1u","C8,C9","C_0603_1608Metric","C5673"
"TJ-S3227","D1,D2","LED_TJ-S3227_RG_3.2x2.7mm","C601677"
"1N4148WS","D3,D4,D5","D_SOD-323","C51898295"
"USB_C_IN","J1","USB_C_Receptacle_TYPE-C_16P_PowerMerged","C165948"
"USB_C_OUT","J2","USB_C_Receptacle_TYPE-C_16P_PowerMerged","C165948"
"JST_PH_2","J3","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"STEMMA_QT","J4","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C51940130"
"SWD_HDR","J5","PinHeader_1x03_P2.54mm_Vertical",""
"1.5uH","L1","L_Sumida_CDMC6D28_7.25x6.5mm","C5189751"
"AON7407","Q1,Q2","DFN-8-1EP_3x3mm_P0.65mm_EP1.6x2.56mm","C176756"
"BSS138","Q3","SOT-23","C52895"
"1.2k","R1","R_0402_1005Metric","C25862"
"100k","R10,R12,R13,R14,R28","R_0402_1005Metric","C25741"
"47k","R11","R_0402_1005Metric","C25792"
"10k","R15,R16,R17,R18,R19","R_0402_1005Metric","C25744"
"5.1k","R2,R3","R_0402_1005Metric","C25905"
"560","R20,R21,R22,R23","R_0402_1005Metric","C25126"
"180k","R24","R_0402_1005Metric","C25760"
"620k","R26","R_0402_1005Metric","C270590"
"1k","R27","R_0402_1005Metric","C11702"
"56k","R4,R5","R_0402_1005Metric","C25796"
"1M","R6,R8,R25","R_0402_1005Metric","C26083"
"330k","R7,R9","R_0402_1005Metric","C25778"
"BUTTON","SW1","SW_SPST_PTS647_Sx50","C2799414"
"BM8563ESA","U1","SOIC-8_3.9x4.9mm_P1.27mm","C269877"
"PY32F003F18P6","U2","TSSOP-20_4.4x6.5mm_P0.65mm","C5379864"
"TPS63020DSJR","U3","VSON-14-1EP_3x4.45mm_P0.65mm_EP1.6x4.2mm","C15483"
"TP4056","U4","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","C382139"
"XC6206P332MR","U5","SOT-23","C5446"
"Q13FC13500004","Y1","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
